"gtdb_rel207_ar53.bin"	"gtdb_rel207_ar53.uniqueSCGs"	"gtdb_rel207_ar53.multipleSCGs"	"gtdb_rel207_ar53.sumSCGs"	"gtdb_rel207_ar53.Completeness"	"gtdb_rel207_ar53.additionalSCGs"	"gtdb_rel207_ar53.Contamination"	"gtdb_rel207_ar53.score"
"MAGScoT_1_49"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_5"	3	2	8	0.0566037735849057	3	0.361635220125786	-0.30503144654088
"MAGScoT_1_50"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_51"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_52"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"MAGScoT_1_53"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_54"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_55"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_56"	5	4	11	0.0943396226415094	2	0.418867924528302	-0.324528301886792
"MAGScoT_1_57"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_58"	4	1	5	0.0754716981132075	0	0.125	-0.0495283018867925
"MAGScoT_1_59"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_1_6"	1	1	3	0.0188679245283019	1	0.509433962264151	-0.490566037735849
"MAGScoT_1_60"	1	1	2	0.0188679245283019	0	0.5	-0.481132075471698
"MAGScoT_1_61"	1	1	2	0.0188679245283019	0	0.5	-0.481132075471698
"MAGScoT_1_62"	3	2	8	0.0566037735849057	3	0.361635220125786	-0.30503144654088
"MAGScoT_1_63"	2	1	3	0.0377358490566038	0	0.25	-0.212264150943396
"MAGScoT_1_64"	1	1	2	0.0188679245283019	0	0.5	-0.481132075471698
"MAGScoT_1_65"	1	1	2	0.0188679245283019	0	0.5	-0.481132075471698
"MAGScoT_1_66"	4	1	5	0.0754716981132075	0	0.125	-0.0495283018867925
"MAGScoT_1_67"	3	0	3	0.0566037735849057	0	0	0.0566037735849057
"MAGScoT_1_68"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_1_69"	1	1	3	0.0188679245283019	1	0.509433962264151	-0.490566037735849
"MAGScoT_1_7"	3	2	8	0.0566037735849057	3	0.361635220125786	-0.30503144654088
"MAGScoT_1_70"	3	2	8	0.0566037735849057	3	0.361635220125786	-0.30503144654088
"MAGScoT_1_71"	5	4	11	0.0943396226415094	2	0.418867924528302	-0.324528301886792
"MAGScoT_1_72"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_73"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_74"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_75"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_1_76"	1	1	3	0.0188679245283019	1	0.509433962264151	-0.490566037735849
"MAGScoT_1_77"	3	2	8	0.0566037735849057	3	0.361635220125786	-0.30503144654088
"MAGScoT_1_78"	4	1	6	0.0754716981132075	1	0.134433962264151	-0.0589622641509434
"MAGScoT_1_79"	3	2	8	0.0566037735849057	3	0.361635220125786	-0.30503144654088
"MAGScoT_1_8"	1	1	2	0.0188679245283019	0	0.5	-0.481132075471698
"MAGScoT_1_9"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_1"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_10"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_11"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_12"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_13"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_14"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_15"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_16"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_17"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_18"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_19"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_2"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_20"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_21"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_22"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_23"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_2_24"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_25"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_2_26"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_27"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_28"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_29"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_3"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_30"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_31"	5	4	11	0.0943396226415094	2	0.418867924528302	-0.324528301886792
"MAGScoT_2_32"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_33"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_34"	4	1	6	0.0754716981132075	1	0.134433962264151	-0.0589622641509434
"MAGScoT_2_35"	3	2	8	0.0566037735849057	3	0.361635220125786	-0.30503144654088
"MAGScoT_2_36"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_37"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_38"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_39"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_4"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_40"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_41"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_42"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_43"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_44"	3	2	8	0.0566037735849057	3	0.361635220125786	-0.30503144654088
"MAGScoT_2_45"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_46"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_47"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"MAGScoT_2_48"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_49"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_5"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_50"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_51"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"MAGScoT_2_52"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_53"	4	1	5	0.0754716981132075	0	0.125	-0.0495283018867925
"MAGScoT_2_54"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_55"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_56"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"MAGScoT_2_57"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_58"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"MAGScoT_2_59"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_6"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_60"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_61"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_62"	4	4	9	0.0754716981132075	1	0.509433962264151	-0.433962264150943
"MAGScoT_2_63"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_64"	4	4	9	0.0754716981132075	1	0.509433962264151	-0.433962264150943
"MAGScoT_2_65"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_66"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_2_67"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_68"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_2_69"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_7"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_70"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_2_71"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_72"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"MAGScoT_2_73"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_74"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"MAGScoT_2_75"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_76"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_77"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_78"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_79"	4	4	9	0.0754716981132075	1	0.509433962264151	-0.433962264150943
"MAGScoT_2_8"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_80"	4	1	5	0.0754716981132075	0	0.125	-0.0495283018867925
"MAGScoT_2_81"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"MAGScoT_2_82"	4	1	5	0.0754716981132075	0	0.125	-0.0495283018867925
"MAGScoT_2_83"	3	0	3	0.0566037735849057	0	0	0.0566037735849057
"MAGScoT_2_84"	5	4	11	0.0943396226415094	2	0.418867924528302	-0.324528301886792
"MAGScoT_2_85"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_86"	5	4	11	0.0943396226415094	2	0.418867924528302	-0.324528301886792
"MAGScoT_2_87"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_88"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_89"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_9"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_90"	1	1	3	0.0188679245283019	1	0.509433962264151	-0.490566037735849
"MAGScoT_2_91"	3	2	8	0.0566037735849057	3	0.361635220125786	-0.30503144654088
"MAGScoT_2_92"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"MAGScoT_2_93"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example.maxbin2.002.fasta"	4	1	6	0.0754716981132075	1	0.134433962264151	-0.0589622641509434
"example.maxbin2.003.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example.maxbin2.004.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example.maxbin2.005.fasta"	5	4	11	0.0943396226415094	2	0.418867924528302	-0.324528301886792
"example.maxbin2.006.fasta"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example.maxbin2.008.fasta"	1	1	2	0.0188679245283019	0	0.5	-0.481132075471698
"example.maxbin2.009.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example.maxbin2.010.fasta"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"example.maxbin2.011.fasta"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example.maxbin2.012.fasta"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"example.maxbin2.013.fasta"	4	4	9	0.0754716981132075	1	0.509433962264151	-0.433962264150943
"example.maxbin2.014.fasta"	4	1	5	0.0754716981132075	0	0.125	-0.0495283018867925
"example.maxbin2.015.fasta"	5	1	6	0.0943396226415094	0	0.1	-0.00566037735849056
"example.maxbin2.016.fasta"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"example.metabat2.10.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example.metabat2.11.fasta"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"example.metabat2.12.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example.metabat2.13.fasta"	1	1	3	0.0188679245283019	1	0.509433962264151	-0.490566037735849
"example.metabat2.14.fasta"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example.metabat2.15.fasta"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example.metabat2.16.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example.metabat2.17.fasta"	2	1	4	0.0377358490566038	1	0.259433962264151	-0.221698113207547
"example.metabat2.2.fasta"	1	1	2	0.0188679245283019	0	0.5	-0.481132075471698
"example.metabat2.20.fasta"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example.metabat2.23.fasta"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example.metabat2.24.fasta"	3	0	3	0.0566037735849057	0	0	0.0566037735849057
"example.metabat2.6.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example_concoct_bin_0.fasta"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_concoct_bin_1.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example_concoct_bin_13.fasta"	5	2	7	0.0943396226415094	0	0.2	-0.105660377358491
"example_concoct_bin_19.fasta"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_concoct_bin_20.fasta"	3	2	8	0.0566037735849057	3	0.361635220125786	-0.30503144654088
"example_concoct_bin_21.fasta"	3	0	3	0.0566037735849057	0	0	0.0566037735849057
"example_concoct_bin_22.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example_concoct_bin_25.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example_concoct_bin_26.fasta"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_concoct_bin_28.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example_concoct_bin_32.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example_concoct_bin_37.fasta"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_concoct_bin_39.fasta"	1	1	2	0.0188679245283019	0	0.5	-0.481132075471698
"example_concoct_bin_4.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example_concoct_bin_42.fasta"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example_concoct_bin_45.fasta"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"example_concoct_bin_46.fasta"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"example_concoct_bin_50.fasta"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"example_vamb_bin_10717"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_11978"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"example_vamb_bin_12142"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_12807"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_131"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"example_vamb_bin_13749"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_139"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"example_vamb_bin_1506"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example_vamb_bin_1529"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example_vamb_bin_15512"	1	1	2	0.0188679245283019	0	0.5	-0.481132075471698
"example_vamb_bin_16112"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_18482"	3	0	3	0.0566037735849057	0	0	0.0566037735849057
"example_vamb_bin_20430"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_2536"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_2555"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"example_vamb_bin_3444"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_3688"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"example_vamb_bin_3834"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_4213"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_4759"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_490"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_5220"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"example_vamb_bin_536"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_543"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example_vamb_bin_549"	5	0	5	0.0943396226415094	0	0	0.0943396226415094
"example_vamb_bin_5585"	2	0	2	0.0377358490566038	0	0	0.0377358490566038
"example_vamb_bin_5864"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_61151"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_7096"	4	0	4	0.0754716981132075	0	0	0.0754716981132075
"example_vamb_bin_71949"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_8428"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
"example_vamb_bin_958"	1	0	1	0.0188679245283019	0	0	0.0188679245283019
